NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 5189/W/2026;2698;5907814663207;AMARANTUS BIO 500 g - BIO PLANET;3.00;szt;5,25;15,75;5,00;5,51;16,54
FS 5189/W/2026;18573;5900900003215;BARSZCZ BIAŁY JAGLANY BEZGLUTENOWY KONCENTRAT BIO;5.00;szt;4,80;24,00;5,00;5,04;25,20
FS 5189/W/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);1.00;szt;7,66;7,66;5,00;8,04;8,04
FS 5189/W/2026;17224;4744481012034;BULION DROBIOWY AZJATYCKI W PŁYNIE BEZGLUTENOWY BI;2.00;szt;8,25;16,50;5,00;8,66;17,33
FS 5189/W/2026;42086;8410748105035;BULION RYBNY Z BIO WARZYWAMI W PŁYNIE BEZGLUTENOW;1.00;szt;13,35;13,35;5,00;14,02;14,02
FS 5189/W/2026;17222;4744481012003;BULION WOŁOWY W PŁYNIE BEZGLUTENOWY BIO 350 ml -;2.00;szt;8,25;16,50;5,00;8,66;17,33
FS 5189/W/2026;40509;5902431592015;BUŁKI DO HAMBURGERÓW Z SIEMIENIEM LNIANYM BEZGLUT;3.00;szt;5,74;17,22;5,00;6,03;18,08
FS 5189/W/2026;40510;5902431590431;BUŁKI DO HOT-DOGÓW BEZGLUTENOWE (2 szt.) 130 g -;5.00;szt;5,78;28,90;5,00;6,07;30,35
FS 5189/W/2026;40511;5902431590738;BUŁKI KAJZERKI BEZGLUTENOWE 120 g - INCOLA;3.00;szt;6,80;20,40;5,00;7,14;21,42
FS 5189/W/2026;41439;5902431591889;BUŁKI PITA BEZGLUTENOWE (2 szt.) 190 g - INCOLA;2.00;szt;8,63;17,26;5,00;9,06;18,12
FS 5189/W/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);4.00;szt;3,61;14,44;5,00;3,79;15,16
FS 5189/W/2026;46367;5200300106326;CHAŁWA KAKAOWA BIO 200 g - BIOAGROS;2.00;szt;14,49;28,98;23,00;17,82;35,65
FS 5189/W/2026;31535;5909000690998;CHIA NASIONA BIO 1 kg - THE PLANET;1.00;szt;24,94;24,94;5,00;26,19;26,19
FS 5189/W/2026;30745;5902650279438;CHIPSY KOKOSOWE PRAŻONE BIO 400 g - BIO PLANET;1.00;szt;14,89;14,89;5,00;15,63;15,63
FS 5189/W/2026;18721;4270000598227;CHIPSY Z MANIOKU SOLONE BEZGLUTENOWE BIO 60 g - E;8.00;szt;7,40;59,20;5,00;7,77;62,16
FS 5189/W/2026;45615;8716788002458;CHIPSY Z SOCZEWICY PAPRYKOWE BEZGLUTENOWE BIO 75;1.00;szt;2,83;2,83;5,00;2,97;2,97
FS 5189/W/2026;30937;5900028007751;CHRUPKI KUKURYDZIANE KWIATKI BIO 80 g - GRANEX;4.00;szt;5,14;20,56;5,00;5,40;21,59
FS 5189/W/2026;32155;5907652545543;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU POMIDORA Z B;5.00;szt;3,78;18,90;5,00;3,97;19,85
FS 5189/W/2026;40541;5904730218139;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SŁODKIEJ PAPR;5.00;szt;3,49;17,45;5,00;3,66;18,32
