NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 45950/W/01/2026;6070;5907814662798;AMARANTUS BIO 1 kg - BIO PLANET;2.00;szt;10,12;20,24;5,00;10,63;21,25
ZK 45950/W/01/2026;27934;5906750252049;BATON PROTEINOWY ORZECHOW Z OLEJEM MCT 50g- PALIWO;37.00;szt;3,70;136,90;5,00;3,89;143,75
ZK 45950/W/01/2026;14220;5425007882667;BELGIJSKIE CZEKOLADKI TRUFLE Z ORZECHAMI LASKOWYM;1.00;szt;18,36;18,36;23,00;22,58;22,58
ZK 45950/W/01/2026;10105;5903900362023;BŁONNIK JABŁKOWY BIO 150 g - BIO PLANET;3.00;szt;5,96;17,88;5,00;6,26;18,77
ZK 45950/W/01/2026;44696;5902431592732;BUŁKA KAJZERKA Z MAKIEM BEZGLUTENOWA (2 szt.) 120;4.00;szt;6,84;27,36;5,00;7,18;28,73
ZK 45950/W/01/2026;40509;5902431592015;BUŁKI DO HAMBURGERÓW Z SIEMIENIEM LNIANYM BEZGLUT;5.00;szt;5,74;28,70;5,00;6,03;30,14
ZK 45950/W/01/2026;40510;5902431590431;BUŁKI DO HOT-DOGÓW BEZGLUTENOWE (2 szt.) 130 g -;4.00;szt;5,78;23,12;5,00;6,07;24,28
ZK 45950/W/01/2026;6822;5907814666895;FASOLKA MUNG BIO 1 kg - BIO PLANET;2.00;szt;13,61;27,22;5,00;14,29;28,58
ZK 45950/W/01/2026;358;5902983782698;FASOLKA MUNG BIO 500 g - BIO PLANET;2.00;szt;7,65;15,30;5,00;8,03;16,07
ZK 45950/W/01/2026;44639;5901866006517;FAWORKI BEZGLUTENOWE 100 g - GLUTENEX (PRODUKT SEZ;2.00;szt;12,54;25,08;5,00;13,17;26,33
ZK 45950/W/01/2026;1900;8437010207815;GAZPACHO (HISZPAŃSKA ZUPA WARZYWNA) BIO 1 L - BIOS;4.00;szt;11,43;45,72;5,00;12,00;48,01
ZK 45950/W/01/2026;4632;5907814664624;JAJA BIO (10 szt.) - BIO PLANET;2.00;szt;11,90;23,80;5,00;12,50;24,99
ZK 45950/W/01/2026;6850;5907814668073;KAKAO ZIARNA SUROWE BIO 200 g - BIO PLANET;1.00;szt;23,62;23,62;23,00;29,05;29,05
ZK 45950/W/01/2026;33361;5902367401122;KASZA MANNA BIO 1 kg - BIO PLANET;2.00;szt;8,62;17,24;5,00;9,05;18,10
ZK 45950/W/01/2026;34541;8052575091367;KREM Z ORZECHÓW LASKOWYCH BIAŁY BEZGLUTENOWY BIO;2.00;szt;16,19;32,38;5,00;17,00;34,00
ZK 45950/W/01/2026;34538;8052575091374;KREM Z ORZLASK I KAKAO BG250g-RIGONI DI;2.00;szt;15,22;30,44;23,00;18,72;37,44
ZK 45950/W/01/2026;345;5907814661074;MĄKA AMARANTUSOWA BIO 400 g - BIO PLANET;3.00;szt;7,65;22,95;5,00;8,03;24,10
ZK 45950/W/01/2026;357;5902983782605;MĄKA Z SAMOPSZY PEŁNOZ. BIO 500 g- BIO PLANET;3.00;szt;5,55;16,65;5,00;5,83;17,48
