
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
00051;3,84;4,72;ZS-26/02/4547;14;5902478000016;Sól niskosodowa (kartonik)  500 g;1.000000;szt.;23,00;3,84;4,72
03256;4,09;4,29;ZS-26/02/4547;126;5907752683442;Sok z buraków kiszonych B/C BIO 300 ml;15.000000;szt.;5,00;61,35;64,42
04046;3,59;3,77;ZS-26/02/4547;235;5908249970205;Otręby owsiane 500 g;10.000000;szt.;5,00;35,90;37,70
04323;5,81;6,10;ZS-26/02/4547;280;8588004638112;Chipsy ziemniaczane pieczone paprykowe BEZGL. BIO 85 g;1.000000;szt.;5,00;5,81;6,10
04380;7,95;8,35;ZS-26/02/4547;298;8008698010259;Ciabatta- bułki do zapiekania BEZGL. 200 g;2.000000;szt.;5,00;15,90;16,70
04394;8,68;9,11;ZS-26/02/4547;310;8008698002599;Pain Campagnard- chleb wiejski BEZGL. 240 g;4.000000;szt.;5,00;34,72;36,46
04403;3,47;3,64;ZS-26/02/4547;314;8008698002070;Salinis- precelki BEZGL. 60 g;4.000000;szt.;5,00;13,88;14,57
04575;9,09;9,54;ZS-26/02/4547;354;8008698004678;Focaccia z rozmarynem BEZGL. 200 g;2.000000;szt.;5,00;18,18;19,09
04732;0,87;1,07;ZS-26/02/4547;436;4013044100007;Proszek do pieczenia  BIO 21 g;3.000000;szt.;23,00;2,61;3,21
04813;10,97;11,85;ZS-26/02/4547;452;5021554984894;Sos SOJOWY Shoyu BIO 150 ml;1.000000;szt.;8,00;10,97;11,85
04893;6,92;7,47;ZS-26/02/4547;484;5903453004005;Grunchy orkiszowe 4-płatki BIO 180 g;1.000000;szt.;8,00;6,92;7,47
04907;5,93;6,23;ZS-26/02/4547;491;5908249970816;Jagody goji suszone BIO 75 g;1.000000;szt.;5,00;5,93;6,23
04913;4,34;4,56;ZS-26/02/4547;497;8007290133434;Makaron pennoni rigati BIO 500 g;2.000000;szt.;5,00;8,68;9,11
