NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 16455/W/2026;5681;5902605416857;BORÓWKI ŚWIEŻE BIO (około 0,125 kg);1.00;szt;10,25;10,25;5,00;10,76;10,76
FS 16455/W/2026;24396;5903794185807;BRANSOLETKA MIEDZIANA 1090 - SATTVA (AYURVEDA);1.00;szt;24,31;24,31;23,00;29,90;29,90
FS 16455/W/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);2.00;szt;7,68;15,36;5,00;8,06;16,13
FS 16455/W/2026;122;4048885051430;BULION - KOSTKI WARZYWNE BEZ DODATKU DROŻDŻY BIO 8;8.00;szt;4,08;32,64;5,00;4,28;34,27
FS 16455/W/2026;3753;5907814663238;BUŁKA TARTA BIO 250 g - BIO PLANET;3.00;szt;5,55;16,65;5,00;5,83;17,48
FS 16455/W/2026;40510;5902431590431;BUŁKI DO HOT-DOGÓW BEZGLUTENOWE (2 szt.) 130 g -;4.00;szt;6,84;27,36;5,00;7,18;28,73
FS 16455/W/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);3.00;szt;3,61;10,83;5,00;3,79;11,37
FS 16455/W/2026;6470;5902650272811;CEBULA ŻÓŁTA ŚWIEŻA BIO (POLSKA) (około 1,00 kg);1.00;szt;4,58;4,58;5,00;4,81;4,81
FS 16455/W/2026;10210;5907738152849;CHIPSY BANANOWE NIESŁODZONE BIO 350 g - BIO PLANE;2.00;szt;10,01;20,02;5,00;10,51;21,02
FS 16455/W/2026;42794;8005221301334;CHLEB TOSTOWY ORKISZOWY KROJONY BIO 400 g - IL BUO;3.00;szt;9,61;28,83;5,00;10,09;30,27
FS 16455/W/2026;32155;5907652545543;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU POMIDORA Z B;5.00;szt;3,19;15,95;5,00;3,35;16,75
FS 16455/W/2026;32155;5907652545543;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU POMIDORA Z B;5.00;szt;3,19;15,95;5,00;3,35;16,75
FS 16455/W/2026;40541;5904730218139;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SŁODKIEJ PAPR;5.00;szt;2,89;14,45;5,00;3,03;15,17
FS 16455/W/2026;47107;5904730218627;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SWEET THAI B;5.00;szt;3,78;18,90;5,00;3,97;19,85
