Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
11BIPBIPKK2;1,00;4,95;5,20;FS 3730/02/2026;4498;BIO PLANET Kasza jęczmienna pęczak BIO 500g;szt;5,00;4,95;5,20
11BIPBIPCJ;1,00;13,37;14,04;FS 3730/02/2026;290;BIO PLANET Ciecierzyca b/g BIO 1kg;szt;5,00;13,37;14,04
11SIMERY02;1,00;17,69;21,76;FS 3730/02/2026;3128;PIĘĆ PRZEMIAN Erytrytol 1000g;szt;23,00;17,69;21,76
11BARMRYZBK;3,00;7,30;7,67;FS 3730/02/2026;7783;BARTOLINI Makaron ryżowy BIO b/g krajanka 250g;szt;5,00;21,90;23,00
11BIPBIPRL;1,00;7,51;7,89;FS 3730/02/2026;435;BIO PLANET Ryż czerwony pełnoziarnisty BIO 400g;szt;5,00;7,51;7,89
21PLASLU08;3,00;12,91;13,94;FS 3730/02/2026;1496;¦luzvit pastylki SŁOIK 80g + 25% gratis PLANTA-LEK;szt;8,00;38,73;41,83
11STETAGTB;13,00;10,23;11,05;FS 3730/02/2026;3266;Tagatesse - 650 tabletek DAMHERT;szt;8,00;132,99;143,63
71MELTEAKR;1,00;11,12;13,68;FS 3730/02/2026;3451;Tea Tree Krem antybakteryjny 45g MELALEUCA;szt;23,00;11,12;13,68
11BIFSOKBW;1,00;6,39;6,71;FS 3730/02/2026;4425;BIO FOOD Sok z buraka kiszonego BIO 500ml;szt;5,00;6,39;6,71
21MEHCZEKO;1,00;15,19;16,41;FS 3730/02/2026;6019;MEDICA HERBS Czerwona Koniczyna 60 kaps.;szt;8,00;15,19;16,41
71SYZPLYLA;1,00;9,92;12,20;FS 3730/02/2026;4535;ZIELKO Płyn do łazienki - melonowy 500ml;szt;23,00;9,92;12,20
21STALIZCO;1,00;0,80;0,86;FS 3730/02/2026;7659;Lizik COLOSZOK lizak cola 1 szt. STARPHARMA;szt;8,00;0,80;0,86
71ARAFKBZJZ;1,00;8,93;10,98;FS 3730/02/2026;8010;FBT Krem-balsam z jadem żmii 75ml;szt;23,00;8,93;10,98
11BIFSOKBR;6,00;5,28;5,54;FS 3730/02/2026;223;BIO FOOD Sok z brokułów kiszonych BIO 300ml;szt;5,00;31,68;33,26
71SOLZABST;1,00;20,75;25,52;FS 3730/02/2026;2952;ZABŁOCKA Sól termalna jodowo-bromowa 1kg;szt;23,00;20,75;25,52
71MELALOSP;2,00;16,34;20,10;FS 3730/02/2026;3459;Aloe Vera spray 99,92% 45ml MELALEUCA;szt;23,00;32,68;40,20
11EKOMINBORL;1,00;6,86;8,44;FS 3730/02/2026;7570;Mini batoniki orzech laskowy 6x18g DOBRA KALORIA;szt;23,00;6,86;8,44
11DIEALFLU;1,00;4,46;4,82;FS 3730/02/2026;559;Alfalfa lucerna na kiełki 80g DIETFOOD;szt;8,00;4,46;4,82
21ASTOLEZY;2,00;10,10;12,42;FS 3730/02/2026;3313;ASTRON Olej żywokostowy z gojnikiem 100ml;szt;23,00;20,20;24,85
21ASTOSTM4;3,00;14,30;15,02;FS 3730/02/2026;7935;ASTRON Ostropest plamisty mielony 1kg;szt;5,00;42,90;45,05
11SIMMIGPR;1,00;8,40;8,82;FS 3730/02/2026;908;PIĘĆ PRZEMIAN Migdały praż. z ksyl. + cynam. 100g;szt;5,00;8,40;8,82
11SIMPALSA;2,00;3,17;3,33;FS 3730/02/2026;4301;PIĘĆ PRZEMIAN Paluszki z samopszy pełnoz. BIO 45g;szt.;5,00;6,34;6,66
31DARCEBSU;1,00;4,97;5,22;FS 3730/02/2026;1927;Cebula suszona 60g DARY NATURY;szt;5,00;4,97;5,22
11DIEFASMK;2,00;3,65;3,83;FS 3730/02/2026;561;Fasolka Mung na kiełki 160g DIETFOOD;szt;5,00;7,30;7,67
71BARMYDTSP;1,00;8,87;10,91;FS 3730/02/2026;3399;Mydło trad. polskie szare w płynie 500ml BARWA;szt;23,00;8,87;10,91
31ANGWIEKI;1,00;5,62;5,90;FS 3730/02/2026;7149;Wierzbówka kiprzyca ziele BIO 50g DARY NATURY;szt;5,00;5,62;5,90
11SIMLUSBJ;1,00;7,96;8,36;FS 3730/02/2026;6364;PIĘĆ PRZEMIAN Łuska babki jajowatej 150g;szt;5,00;7,96;8,36
31DARPIECR;1,00;5,84;6,31;FS 3730/02/2026;1970;Pieprz czarny ziarnisty 50g DARY NATURY;szt.;8,00;5,84;6,31
11BIPBIPPM;1,00;5,37;5,64;FS 3730/02/2026;409;BIO PLANET Płatki owsiane BIO 600g;szt;5,00;5,37;5,64
11DIEBROWC;2,00;5,76;6,22;FS 3730/02/2026;560;Brokuł włoski na kiełki 20g DIETFOOD;szt;8,00;11,52;12,44
21BIFSPIT2;1,00;10,26;12,62;FS 3730/02/2026;1133;100% Spirulina Plat. 80g (200mg, 400tabl.) BOF;szt;23,00;10,26;12,62
11BIPBIUWA;1,00;8,82;9,53;FS 3730/02/2026;471;BIOVEGAN Wanilia mielona Bourbon BIO 5g bezgluten.;szt;8,00;8,82;9,53
11ROYEKSWA;1,00;31,02;33,50;FS 3730/02/2026;7158;Ekstrakt z Waleriany BIO 50ml ROYAL BRAND;szt;8,00;31,02;33,50
71ARAELIKB4;1,00;8,94;11,00;FS 3730/02/2026;5748;ELIXIR Krem-balsam Białe Mumio 75ml;szt;23,00;8,94;11,00
11SIMMAJSU;1,00;3,49;3,66;FS 3730/02/2026;8157;PIĘĆ PRZEMIAN Majeranek suszony BIO 15g;szt;5,00;3,49;3,66
71ROSDOM;3,00;4,02;4,94;FS 3730/02/2026;6472;DOMOWY DOKTOR Krem do nóg pijawka + koński kasztan;szt;23,00;12,06;14,83
11DIERZOKI;2,00;4,59;4,96;FS 3730/02/2026;563;Rzodkiewka na kiełki 80g DIETFOOD;szt;8,00;9,18;9,91
33ANGHERPAS;2,00;5,84;6,31;FS 3730/02/2026;7154;Herb. Pasożyty SD BIO 50g DARY NATURY;szt;8,00;11,68;12,61
21GORPNEZA;12,00;14,61;15,78;FS 3730/02/2026;1296;GORVITA Pneumovit zatoki spray 50ml;szt;8,00;175,32;189,35
11BIPBIPKG;1,00;5,86;6,15;FS 3730/02/2026;324;BIO PLANET Kasza gryczana palona BIO 500g;szt;5,00;5,86;6,15
21SUPMNILE;1,00;15,99;17,27;FS 3730/02/2026;8182;Mniszek lekarski ekstrakt 400mg, 60kaps. SUPLIIV;szt;8,00;15,99;17,27
11BIPBIPRN1;1,00;12,71;13,35;FS 3730/02/2026;5964;BIO PLANET Ryż ja¶minowy biały b/g BIO 1kg;szt;5,00;12,71;13,35
34NATZIOBL;2,00;10,89;11,76;FS 3730/02/2026;2345;NATURA-WITA Błonnik naturalnie witalny 200g;szt;8,00;21,78;23,52
31DAROREKO;1,00;4,44;4,66;FS 3730/02/2026;5954;Oregano BIO 20g DARY NATURY;szt;5,00;4,44;4,66
