
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
10777;4,99;6,14;(S)FS-26/02/1665;4580;5000204246285;Płyn do mycia naczyń CAMOMILE & CLEMENTINE 450 ml;1.000000;szt.;23,00;4,99;6,14
12475;3,73;4,59;(S)FS-26/02/1665;6477;6430034672388;Płyn do mycia naczyń sensitiv 500 ml;1.000000;szt.;23,00;3,73;4,59
04846;4,03;4,23;(S)FS-26/02/1665;461;5908249971806;Ziemniak jadalny BIO 1 kg #;2.000000;kg;5,00;8,06;8,46
10573;6,29;6,60;(S)FS-26/02/1665;4327;5908228980683;Ogórek kiszony tarty BIO 500 ml;2.000000;szt.;5,00;12,58;13,21
12417;68,75;84,56;(S)FS-26/02/1665;6419;4019886015363;Płyn do prania, uniwersalny kolor sensitive BIO 5 l;2.000000;szt.;23,00;137,50;169,13
11384;7,94;8,58;(S)FS-26/02/1665;5270;5905811977013;Plantway Ku*czak roślinny klasyk 160 g;1.000000;szt.;8,00;7,94;8,58
12472;3,79;4,66;(S)FS-26/02/1665;6474;6430034672197;Płyn do mycia naczyń aloe vera 500 ml;1.000000;szt.;23,00;3,79;4,66
08466;6,15;6,46;(S)FS-26/02/1665;2355;8466;Jabłka Gala BIO 1 kg #;1.200000;kg;5,00;7,38;7,75
12521;5,14;6,32;(S)FS-26/02/1665;6523;8016867007030;Płatki kosmetyczne 70szt BIO;5.000000;szt.;23,00;25,70;31,61
10269;4,01;4,33;(S)FS-26/02/1665;3986;5908249977495;Tofu naturalne BIO 180 g;1.000000;szt.;8,00;4,01;4,33
06237;7,89;8,28;(S)FS-26/02/1665;1092;5908249972179;Płatki kukurydziane BIO 300 g;5.000000;szt.;5,00;39,45;41,42
12421;10,42;12,82;(S)FS-26/02/1665;6423;4019886020008;Płyn do czyszczenia toalet cytrusowy BIO 750 ml;1.000000;szt.;23,00;10,42;12,82
10271;4,01;4,33;(S)FS-26/02/1665;3989;5908249977211;Tofu naturalne BIO 180 g;2.000000;szt.;8,00;8,02;8,66
12477;10,64;13,09;(S)FS-26/02/1665;6479;6430034673101;Płyn do prania odzieży sportowej 1 l;1.000000;szt.;23,00;10,64;13,09
04486;7,04;7,39;(S)FS-26/02/1665;338;5908249970243;Śliwki suszone BIO 150 g;2.000000;szt.;5,00;14,08;14,78
12385;7,67;9,43;(S)FS-26/02/1665;6387;4019886023566;Płyn do zmywania naczyń sensitive z aloesem BIO 500 ml;1.000000;szt.;23,00;7,67;9,43
11438;4,38;4,60;(S)FS-26/02/1665;5343;5900900003376;Żywy zakwas z buraków ćwikłowych bezglutenowy BIO 320;2.000000;szt.;5,00;8,76;9,20
12381;22,51;27,69;(S)FS-26/02/1665;6383;4019886015066;Płyn do prania, uniwersalny kolor limonka BIO 1.5 l;1.000000;szt.;23,00;22,51;27,69
11732;6,62;6,95;(S)FS-26/02/1665;5668;5904261538065;Zakwas z buraków kiszonych BIO 500 ml;7.000000;szt.;5,00;46,34;48,66
11495;7,68;8,29;(S)FS-26/02/1665;5403;5905811977068;Roślinny Tuńczyk 150 g;1.000000;szt.;8,00;7,68;8,29
12410;21,78;26,79;(S)FS-26/02/1665;6412;4019886015509;Płyn do prania tkanin sportowych i membranowych BIO 750 ml;2.000000;szt.;23,00;43,56;53,58
12470;12,48;15,35;(S)FS-26/02/1665;6472;6430034679554;Płyn do prania uniwersalny sensitiv 1.5 l;1.000000;szt.;23,00;12,48;15,35
11173;7,49;7,86;(S)FS-26/02/1665;5038;5908228980973;Probiotyczny sok bez soli z kiszonych warzyw BIO 300 ml;1.000000;szt.;5,00;7,49;7,86
07075;13,17;13,83;(S)FS-26/02/1665;1484;5027632000418;Ser Cheddar dojrzały, dojrzewający 9-12 miesięcy BIO 200 g;5.000000;szt.;5,00;65,85;69,14
12375;3,67;4,51;(S)FS-26/02/1665;6377;3265660391173;Płatki kosmetyczne, okrągłe 80szt BIO;6.000000;szt.;23,00;22,02;27,08
05422;10,73;11,27;(S)FS-26/02/1665;684;5905933486790;Ogórki kiszone BIO 400 g / 700 g;1.000000;szt.;5,00;10,73;11,27
10032;5,93;6,23;(S)FS-26/02/1665;3681;5908249977440;Jaja przepiórcze 18 szt.;2.000000;szt.;5,00;11,86;12,45
06228;5,83;6,12;(S)FS-26/02/1665;1084;5908249971998;Nasiona chia BIO 200 g;1.000000;szt.;5,00;5,83;6,12
09229;10,47;10,99;(S)FS-26/02/1665;2919;5908228980171;Kapusta kiszona z marchewką BIO 800 g;5.000000;szt.;5,00;52,35;54,97
12429;24,36;29,96;(S)FS-26/02/1665;6431;4019886077163;Mydło w płynie cytrusowo - oliwkowe BIO 1000 ml;1.000000;szt.;23,00;24,36;29,96
11437;8,01;8,41;(S)FS-26/02/1665;5342;5900900003024;Kapusta kiszona niepasteryzowana BIO 540 ml;8.000000;szt.;5,00;64,08;67,28
12434;24,36;29,96;(S)FS-26/02/1665;6436;4019886079167;Mydło w płynie lawendowo - oliwkowe BIO 1000 ml;1.000000;szt.;23,00;24,36;29,96
10572;10,47;10,99;(S)FS-26/02/1665;4326;5908228980188;Kapusta kiszona BIO 900 ml;4.000000;szt.;5,00;41,88;43,97
12159;24,88;26,12;(S)FS-26/02/1665;6159;5903900941211;Oliwa z oliwek extra virgin KRETA BIO 500ml;1.000000;szt.;5,00;24,88;26,12
12028;8,99;9,44;(S)FS-26/02/1665;6018;5904261538263;Bigos Wegański BIO 500g;1.000000;szt.;5,00;8,99;9,44
12544;6,83;8,40;(S)FS-26/02/1665;6546;8005892346498;Papier ekologiczny toaletowy econatural, 100% celuloza, 2 warstwy, 4 rolki, 400 listków;1.000000;szt.;23,00;6,83;8,40
04714;8,91;9,36;(S)FS-26/02/1665;426;5908249970410;Morele suszone BIO 120 g;2.000000;szt.;5,00;17,82;18,71
09841;26,54;27,87;(S)FS-26/02/1665;3428;5904722221123;Kimchi Classic spicy 900 g;2.000000;szt.;5,00;53,08;55,73
11523;4,73;4,97;(S)FS-26/02/1665;5438;5908249979536;Otręby owsiane BIO 500 g EkoWital;3.000000;szt.;5,00;14,19;14,90
11268;2,99;3,14;(S)FS-26/02/1665;5149;5908249979338;Paluszki orkiszowe pełnoziarniste BIO 50 g;1.000000;szt.;5,00;2,99;3,14
09839;12,32;12,94;(S)FS-26/02/1665;3426;5904722221031;Kimchi Vegan Mild 300 g;3.000000;szt.;5,00;36,96;38,81
05654;8,53;8,96;(S)FS-26/02/1665;768;5908249971356;Pomidory suszone na słońcu w oleju BIO 180 g;1.000000;szt.;5,00;8,53;8,96
09840;12,32;12,94;(S)FS-26/02/1665;3427;5904722221000;Kimchi Classic spicy 300 g;1.000000;szt.;5,00;12,32;12,94
03253;5,51;5,79;(S)FS-26/02/1665;123;5907752683329;Sok z selera kwaszonego B/C BIO 300 ml;1.000000;szt.;5,00;5,51;5,79
09844;12,32;12,94;(S)FS-26/02/1665;3431;5904722221017;Kimchi Classic Mild 300 g;1.000000;szt.;5,00;12,32;12,94
07877;10,97;11,52;(S)FS-26/02/1665;1945;5902596634391;Syrop z malin słodzony cukrem trzcinowym BIO 300 ml;1.000000;szt.;5,00;10,97;11,52
09843;26,54;27,87;(S)FS-26/02/1665;3430;5904722221130;Kimchi Classic Mild 900 g;4.000000;szt.;5,00;106,16;111,47
06359;6,95;7,30;(S)FS-26/02/1665;1143;5412514932473;Tortilla BIO 240 g (6 sztuk);1.000000;szt.;5,00;6,95;7,30
08030;5,47;5,74;(S)FS-26/02/1665;2042;5900900002812;Żurek jaglany - koncentrat BEZG. BIO 320 ml;2.000000;szt.;5,00;10,94;11,49
11442;3,52;3,70;(S)FS-26/02/1665;5347;8410712001530;Wafle z kremem kakaowym bez dodatku cukru 150 g;1.000000;szt.;5,00;3,52;3,70
