NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
ZK 114016/W/02/2026;5951;5907814661272;ANANAS ŚWIEŻY BIO (około 0,80 kg);1.00;szt;10,09;10,09;5,00;10,59;10,59
ZK 114016/W/02/2026;32107;5908445472398;AWOKADO ŚWIEŻE BIO (siatka 5 szt.);1.00;szt;16,59;16,59;5,00;17,42;17,42
ZK 114016/W/02/2026;17223;4744481012010;BULION DROBIOWY W PŁYNIE BEZGLUTENOWY BIO 350 ml;4.00;szt;8,24;32,96;5,00;8,65;34,61
ZK 114016/W/02/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);7.00;szt;3,61;25,27;5,00;3,79;26,53
ZK 114016/W/02/2026;6470;5902650272811;CEBULA ŻÓŁTA ŚWIEŻA BIO (POLSKA) (około 1,00 kg);1.00;szt;4,58;4,58;5,00;4,81;4,81
ZK 114016/W/02/2026;21105;4260229160305;CIASTO FRANCUSKIE MAŚLANE BIO 275 g - DONAU STRUD;2.00;szt;12,07;24,14;5,00;12,67;25,35
ZK 114016/W/02/2026;45200;4260229160428;CIASTO FRANCUSKIE ORKISZOWE BIO 270 g - DONAU STR;2.00;szt;11,30;22,60;5,00;11,87;23,73
ZK 114016/W/02/2026;1930;5903900368681;CYTRYNY ŚWIEŻE BIO (około 1,00 kg);1.00;szt;9,69;9,69;5,00;10,17;10,17
ZK 114016/W/02/2026;23038;4000915233414;GNOCCHI ŚWIEŻE BIO 400 g - BIO-VERDE;2.00;szt;11,26;22,52;5,00;11,82;23,65
ZK 114016/W/02/2026;11972;5903900368650;JABŁKA ŚWIEŻE BIO (GALA - POLSKA) (około 1,00 kg);5.00;szt;6,84;34,20;5,00;7,18;35,91
ZK 114016/W/02/2026;9501;5902983782247;JARMUŻ ŚWIEŻY BIO (około 0,25 kg);13.00;szt;4,80;62,40;5,00;5,04;65,52
ZK 114016/W/02/2026;12758;5902488062899;KARCZOCH ŚWIEŻY BIO (około 0,15 kg);2.00;szt;4,53;9,06;5,00;4,76;9,51
ZK 114016/W/02/2026;7317;5907766463023;KIEŁKI RZODKIEWKI ŚWIEŻE BIO (około 50 g);3.00;szt;3,66;10,98;5,00;3,84;11,53
ZK 114016/W/02/2026;7226;5907766463016;KIEŁKI SŁONECZNIKA ŚWIEŻE BIO (około 50 g);6.00;szt;3,66;21,96;5,00;3,84;23,06
ZK 114016/W/02/2026;31860;5902367400644;KUMKWAT ŚWIEŻY BIO (około 0,25 kg);7.00;szt;5,68;39,76;5,00;5,96;41,75
ZK 114016/W/02/2026;6256;5902650272828;MARCHEW ŚWIEŻA NIEMYTA BIO (POLSKA) (około 0,90 kg;1.00;szt;4,77;4,77;5,00;5,01;5,01
ZK 114016/W/02/2026;3496;5902605414990;MIX SAŁAT ŚWIEŻY NIEMYTY BIO (około 0,10 kg);1.00;szt;4,18;4,18;5,00;4,39;4,39
ZK 114016/W/02/2026;5974;5907814661470;OGÓREK DŁUGI ŚWIEŻY BIO (około 0,35 kg);1.00;szt;7,12;7,12;5,00;7,48;7,48
ZK 114016/W/02/2026;16192;5907738156359;PAPRYKA OSTRA ŚWIEŻA BIO (około 0,10 kg);3.00;szt;4,68;14,04;5,00;4,91;14,74
ZK 114016/W/02/2026;46398;5908231224033;PIEROGI Z KURCZAKIEM BEZGLUTENOWE 280 g - BEZGLUT;4.00;szt;20,48;81,92;5,00;21,50;86,02
ZK 114016/W/02/2026;31093;5907518375376;PIEROGI Z TRUSKAWKAMI 275 g - MAMA VEGE;6.00;szt;14,20;85,20;5,00;14,91;89,46
ZK 114016/W/02/2026;31127;5907518375314;PIEROGI Z ZIEMNIAKAMI I OLIWĄ TRUFLOWĄ 275 g - MA;2.00;szt;12,71;25,42;5,00;13,35;26,69
ZK 114016/W/02/2026;31126;5907518375321;PIEROGI ZE SZPINAKIEM I SEREM TYPU FETA BEZGLUTEN;1.00;szt;15,56;15,56;5,00;16,34;16,34
ZK 114016/W/02/2026;1931;5902650274617;POMARAŃCZE ŚWIEŻE BIO (około 2,00 kg);2.00;szt;16,56;33,12;5,00;17,39;34,78
ZK 114016/W/02/2026;47248;5902983784906;POMIDORY KOKTAJLOWE MIX ŚWIEŻE BIO (około 0,25 kg);2.00;szt;7,84;15,68;5,00;8,23;16,46
