Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
11AVESOLZM;2,00;6,02;7,40;ZK 4716/02/2026 ZK 4717/02/2026;212;AVENA Sól ziołowa morska 170g;szt;23,00;12,04;14,81
11AVESOLZO;2,00;4,81;5,92;ZK 4716/02/2026 ZK 4717/02/2026;213;AVENA Sól ziołowa 170g;szt;23,00;9,62;11,83
11BILMAKORJ;3,00;10,54;11,07;ZK 4716/02/2026 ZK 4717/02/2026;7553;M±ka orkiszowa jasna typ 550 BIO 1kg BIOLIFE - PODLASKIE EKOLOGICZNE;szt;5,00;31,62;33,20
11BIPAMYCW;3,00;2,65;2,86;ZK 4716/02/2026 ZK 4717/02/2026;274;AMYLON Cukier waniliowy BIO 20g;szt;8,00;7,95;8,59
11BIPBINKUK;1,00;8,09;8,49;ZK 4716/02/2026 ZK 4717/02/2026;7267;BIOMINKI Kulki kakaowe BIO 300g;szt;5,00;8,09;8,49
11BISNAPKO;2,00;10,14;10,95;ZK 4716/02/2026 ZK 4717/02/2026;530;MOGADOR Napój kokosowy w proszku 400g;szt;8,00;20,28;21,90
11EKOBATORL;1,00;2,28;2,80;ZK 4716/02/2026 ZK 4717/02/2026;7574;DOBRA KALORIA Baton orzech laskowy 35g KUBARA;szt;23,00;2,28;2,80
11EKOKULKW;2,00;4,58;5,63;ZK 4716/02/2026 ZK 4717/02/2026;5300;DOBRA KALORIA Kulki Kakao & Wi¶nia 58g KUBARA;szt;23,00;9,16;11,27
11EKOMINBASE;1,00;7,78;8,17;ZK 4716/02/2026 ZK 4717/02/2026;5380;DOBRA KALORIA Mini batoniki a'la sernik waniliowy z nerkowców (6x17g) KUBARA;szt;5,00;7,78;8,17
11EKOMINBATM;4,00;7,78;8,17;ZK 4716/02/2026 ZK 4717/02/2026;5381;DOBRA KALORIA Mini batoniki a'la tarta malinowa z nerkowców (6x17g) KUBARA;szt;5,00;31,12;32,68
11MIXVZELJA;1,00;5,12;5,38;ZK 4716/02/2026 ZK 4717/02/2026;7370;VERI BERI Żelki paski jagodowe bez dodatku cukru bezglutenowe 50g;szt;5,00;5,12;5,38
11POLSYRI2;6,00;9,57;10,34;ZK 4716/02/2026 ZK 4717/02/2026;6439;Syrop imbirowy 40% soku 250ml POLSKA RÓŻA;szt;8,00;57,42;62,01
11PRSOLER2;5,00;14,66;15,39;ZK 4716/02/2026 ZK 4717/02/2026;874;PRIMUS Olej rzepakowy Tucholski 1l;szt;5,00;73,30;76,97
11ROYEKSPI;1,00;31,02;33,50;ZK 4716/02/2026 ZK 4717/02/2026;7157;Ekstrakt z Piołunu BIO 50ml ROYAL BRAND;szt;8,00;31,02;33,50
11SIDGUMCY;1,00;3,75;4,05;ZK 4716/02/2026 ZK 4717/02/2026;4583;CHEWSY Gumy do żucia o smaku cynamonowym z ksylitolem 15g (10 gum);szt;8,00;3,75;4,05
11SIMCUKMJ;1,00;2,99;3,23;ZK 4716/02/2026 ZK 4717/02/2026;920;PIĘĆ PRZEMIAN Cuksy miętowe z ksylitolem 13g;szt;8,00;2,99;3,23
11SIMMAKAO;1,00;10,73;13,20;ZK 4716/02/2026 ZK 4717/02/2026;5235;PIĘĆ PRZEMIAN Makao - kakao do picia - słoik 180g;szt;23,00;10,73;13,20
11SIMPALZY;1,00;2,52;2,65;ZK 4716/02/2026 ZK 4717/02/2026;924;PIĘĆ PRZEMIAN Paluszki żytnie pełnoziarniste BIO 45g;szt.;5,00;2,52;2,65
