EAN;KOD;Regał;Półka;Data przyjęcia;Data ważności;STAN
9788378604969;;D;1;14.06.2024;26.05.2029;1
9788378604921;;D;1;14.06.2024;25.05.2029;1
9788325339289;;D;2;14.06.2024;23.05.2029;1
9772450250304;;C;2;14.06.2024;21.05.2029;7
9772450250304;;C;2;14.06.2024;22.05.2029;3
9772450250205;;C;1;14.06.2024;12.05.2029;8
9772450250205;;C;1;14.06.2024;13.05.2029;9
9772450250205;;C;1;14.06.2024;14.05.2029;3
9772450250205;;C;1;14.06.2024;15.05.2029;2
9772450250205;;C;1;14.06.2024;16.05.2029;8
9772450250205;;C;1;14.06.2024;17.05.2029;3
9772450250205;;C;1;14.06.2024;18.05.2029;1
9772450250205;;C;1;14.06.2024;19.05.2029;1
9120100630066;;P;4;22.04.2025;15.12.2025;6
9120048833260;;B;3;16.07.2024;1.02.2026;1
9120048831150;;C;2;18.04.2025;1.01.2027;1
9120048830368;;T;1;10.02.2025;1.07.2026;1
9120008998725;;N;2;8.12.2025;10.10.2026;1
9120008998565;;T;5;19.05.2025;1.08.2026;1
9120008996479;;W;5;12.05.2025;1.01.2026;2
9120008996431;;F;5;20.10.2025;17.07.2026;4
9120008995823;;I;1;12.05.2025;1.09.2026;11
9120008994260;;M;5;28.07.2025;1.11.2026;3
9120008994222;;T;4;19.05.2025;1.11.2026;2
9120008994185;;X;2;12.05.2025;1.11.2026;3
9120008990699;;U;1;22.09.2025;4.01.2027;4
9020200031032;;F;5;20.10.2025;12.03.2026;2
9008204908215;;S;5;27.10.2025;31.10.2026;6
8936181660448;;U;3;1.12.2025;23.04.2027;3
8936181660431;;R;5;13.10.2025;31.03.2027;4
8936181660417;;T;1;24.11.2025;23.04.2027;3
8858826308990;;N;2;22.09.2025;20.08.2026;1
8809723783359;;KOSZ;16;11.12.2026;11.12.2026;1
8721082004305;;B;1;3.11.2025;7.04.2026;3
8721082004138;;K;4;8.12.2025;27.02.2026;2
8721082004091;;U;6;3.11.2025;3.05.2026;3
8720618657329;;Y;1;22.04.2025;1.01.2027;2
8719324640701;;F;4;1.12.2025;6.05.2026;1
8718976021647;;B;4;3.11.2025;1.11.2027;1
8718976020831;;Y;5;8.12.2025;30.06.2027;2
8718976020183;;KOSZ;12;11.12.2026;11.12.2026;1
8718976020145;;B;3;17.11.2025;28.11.2026;1
8718976020046;;M;3;22.03.2025;1.07.2027;1
8718976018166;;W;3;8.12.2025;21.06.2027;1
8718976017268;;H;4;15.07.2024;20.12.2026;1
8718976009584;;K;3;8.12.2025;4.03.2026;2
8718976009553;;T;1;24.11.2025;13.04.2026;3
8718781200053;;S;1;22.09.2025;27.12.2026;1
8718754507158;;L;5;17.11.2025;22.05.2026;3
8718754506687;;F;4;8.12.2025;13.06.2026;1
8718754505635;;T;3;20.10.2025;14.03.2026;2
8718754503044;;A;1;10.11.2025;5.03.2027;1
8718754502351;;B;7;17.11.2025;15.05.2026;6
8718754502313;;N;1;27.10.2025;25.04.2026;1
8718754502078;;A;5;8.12.2025;13.06.2026;2
8718754502016;;K;4;8.12.2025;20.06.2026;2
8718754501972;;F;4;8.12.2025;28.05.2026;1
8717496906946;;KOSZ;4;9.12.2025;9.12.2026;2
8717496903716;;J;3;8.12.2025;20.04.2026;2
8717496900173;;X;1;8.12.2025;1.03.2029;1
8717496900159;;S;1;3.11.2025;17.12.2027;2
8717496900142;;Y;1;24.11.2025;1.06.2029;2
8717496900135;;S;2;6.10.2025;1.03.2029;1
8717496900135;;G;4;6.10.2025;1.03.2029;1
8717496900081;;J;3;8.12.2025;18.04.2026;2
8717496900029;;T;5;1.12.2025;31.12.2028;1
8714685902208;;U;2;3.11.2025;25.12.2025;1
8714265974878;;Y;2;8.09.2025;1.05.2026;1
8714265973925;;W;3;9.06.2025;1.01.2027;1
8714265973574;;G;4;8.12.2025;8.08.2026;3
8714265973154;;M;3;3.11.2025;1.02.2027;4
8714265090523;;B;6;3.11.2025;17.02.2027;3
8714265090226;;A;6;8.09.2025;9.07.2026;3
8714265090127;;T;2;14.07.2025;1.07.2026;1
8713576282535;;M;3;8.12.2025;1.01.2027;1
8713576173253;;C;4;3.11.2025;30.06.2027;1
8713576114133;;KOSZ;13;11.12.2026;11.12.2026;2
8713576114102;;H;3;1.12.2025;20.03.2027;1
8713576004281;;KOSZ;1;9.12.2025;9.12.2026;1
8713576004267;;O;4;8.12.2025;30.06.2027;1
8713576003871;;A;2;3.02.2025;1.06.2026;1
8713576003192;;T;2;17.11.2025;1.04.2027;1
8713576002591;;Y;2;8.09.2025;30.06.2027;1
8712439040503;;KOSZ;4;9.12.2025;9.12.2026;1
8712439040305;;N;3;8.12.2025;28.10.2027;1
8712153627103;;KOSZ;2;9.12.2025;9.12.2026;1
8712153270903;;R;2;8.12.2025;13.12.2028;1
8712153027156;;W;4;10.11.2025;31.12.2027;3
8712153027125;;R;1;8.12.2025;1.05.2028;1
8699367129718;;G;4;17.11.2025;1.05.2028;1
8699367129718;;H;4;17.11.2025;1.05.2028;1
8699367125741;;R;5;27.10.2025;1.03.2028;1
8699266394842;;O;5;19.05.2025;1.01.2027;2
8699266390868;;H;2;13.10.2025;1.01.2028;1
8595582430410;;W;4;8.12.2025;7.06.2026;1
8595582430243;;J;5;24.11.2025;23.05.2026;1
8595582429131;;T;5;22.04.2025;1.05.2026;4
8595582418333;;KOSZ;14;11.12.2026;11.12.2026;2
8595582418098;;KOSZ;14;11.12.2026;11.12.2026;1
