EAN;KOD;Regał;Półka;DATA PRZYJĘCIA;DATA WAŻNOŚCI;STAN
5,90245E+12;A_MAG_5902448162737_01082026_(A_1);A;1;14.08.2025;01.08.2026;1
5,90673E+12;A_MAG_5906732620194_01032027_(A_1);A;1;10.11.2025;01.03.2027;1
8,71875E+12;A_MAG_8718754503044_05032027_(A_1);A;1;10.11.2025;05.03.2027;1
5,90772E+12;A_MAG_5907722370068_29122025_(A_1);A;1;10.11.2025;29.12.2025;1
5,90298E+12;A_MAG_5902983782988_27112026_(A_1);A;1;27.11.2025;27.11.2026;1
5,90265E+12;A_MAG_5902650273825_01072026_(A_1);A;1;30.06.2025;01.07.2026;1
5,90774E+12;A_MAG_5907738158186_01022027_(A_1);A;1;15.09.2025;01.02.2027;6
5,90774E+12;A_MAG_5907738158186_01022027_(L_3);L;3;15.09.2025;01.02.2027;10
5,90277E+12;A_MAG_5902768762013_01032026_(A_1);A;1;26.05.2025;01.03.2026;2
8,59402E+12;A_MAG_8594015705408_01012028_(A_1);A;1;14.04.2025;01.01.2028;1
5,90187E+12;A_MAG_5901866005893_17032027_(A_1);A;1;27.10.2025;17.03.2027;1
5,90673E+12;A_MAG_5906732620187_01032027_(A_1);A;1;17.11.2025;01.03.2027;1
8,009E+12;A_MAG_8009004811386_18062026_(A_1);A;1;17.11.2025;18.06.2026;1
5,90379E+12;A_MAG_5903794183728_01012026_(A_1);A;1;21.10.2024;01.01.2026;1
5,90421E+12;A_MAG_5904209843060_01092027_(A_1);A;1;30.06.2025;01.09.2027;1
5,90675E+12;A_MAG_5906750251486_12122026_(A_1);A;1;15.12.2025;12.12.2026;4
5,06069E+12;A_MAG_5060691233458_04082027_(A_1);A;1;15.12.2025;04.08.2027;2
7,03557E+11;A_MAG_703556630775_17062027_(A_2);A;2;22.09.2025;17.06.2027;2
7,33739E+11;A_MAG_733739006806_01082028_(A_2);A;2;19.05.2025;01.08.2028;1
4,26024E+12;A_MAG_4260237453581_01022026_(A_2);A;2;22.04.2025;01.02.2026;1
5,90827E+12;A_MAG_5908271357005_01032026_(A_2);A;2;16.06.2025;01.03.2026;2
8,588E+12;A_MAG_8588000526758_25062026_(A_2);A;2;15.12.2025;25.06.2026;1
8,009E+12;A_MAG_8009004811409_23042027_(A_2);A;2;15.12.2025;23.04.2027;3
8,59407E+12;A_MAG_8594071212377_22112026_(A_2);A;2;15.12.2025;22.11.2026;2
8,58602E+12;A_MAG_8586024470484_20112026_(A_2);A;2;15.12.2025;20.11.2026;3
5,90781E+12;A_MAG_5907814664907_24072027_(A_3);A;3;15.12.2025;24.07.2027;1
5,90781E+12;A_MAG_5907814660435_30092026_(A_3);A;3;15.12.2025;30.09.2026;1
5,90675E+12;A_MAG_5906750252490_03052026_(A_3);A;3;15.12.2025;03.05.2026;4
5,90237E+12;A_MAG_5902367409142_07112026_(A_3);A;3;15.12.2025;07.11.2026;1
5,90249E+12;A_MAG_5902488066040_31102028_(A_3);A;3;15.12.2025;31.10.2028;1
5,90673E+12;A_MAG_5906732627063_01112026_(A_3);A;3;15.12.2025;01.11.2026;1
5,90243E+12;A_MAG_5902425050293_01012027_(A_3);A;3;22.04.2025;01.01.2027;1
5,90673E+12;A_MAG_5906732624550_01012027_(A_3);A;3;22.04.2025;01.01.2027;1
7,64023E+12;A_MAG_7640230493727_16042026_(A_3);A;3;10.11.2025;16.04.2026;1
5,90675E+12;A_MAG_5906750250908_01102027_(A_3);A;3;31.03.2025;01.10.2027;1
3,76013E+12;A_MAG_3760128281541_30062026_(A_3);A;3;27.10.2025;30.06.2026;2
5,90298E+12;A_MAG_5902983782728_30042026_(A_3);A;3;15.12.2025;30.04.2026;3
8,05258E+12;A_MAG_8052575091367_01072028_(A_4);A;4;15.12.2025;01.07.2028;1
8,05258E+12;A_MAG_8052575091367_01072028_(C_6);C;6;15.12.2025;01.07.2028;1
5,90673E+12;A_MAG_5906732624444_01022027_(A_4);A;4;15.12.2025;01.02.2027;1
