EAN;KOD;Regał;Półka;DATA PRZYJĘCIA;DATA WAŻNOŚCI;STAN
42099901;A_MAG_42099901_31032026_(B_4);B;4;13.10.2025;31.03.2026;1
87330373;A_MAG_87330373_05112026_(J_5);J;5;15.12.2025;05.11.2026;1
609728699611;A_MAG_609728699611_18122026_(KOSZ_16);KOSZ;16;18.12.2025;18.12.2026;3
609728699635;A_MAG_609728699635_17062027_(K_1);K;1;15.12.2025;17.06.2027;2
680275029168;A_MAG_680275029168_01022028_(H_2);H;2;24.11.2025;01.02.2028;1
700596000612;A_MAG_700596000612_20052027_(C_4);C;4;27.10.2025;20.05.2027;2
703556630775;A_MAG_703556630775_17062027_(A_2);A;2;22.09.2025;17.06.2027;2
709112457237;A_MAG_709112457237_18122026_(KOSZ_16);KOSZ;16;18.12.2025;18.12.2026;2
733739006806;A_MAG_733739006806_01082028_(A_2);A;2;19.05.2025;01.08.2028;1
733739016614;A_MAG_733739016614_01012029_(C_5);C;5;11.08.2025;01.01.2029;1
733739017550;A_MAG_733739017550_01032028_(C_5);C;5;11.08.2025;01.03.2028;1
786471696187;A_MAG_786471696187_05022027_(H_5);H;5;29.09.2025;05.02.2027;2
3184340000535;A_MAG_3184340000535_26042026_(H_4);H;4;08.12.2025;26.04.2026;1
3375190410036;A_MAG_3375190410036_24022026_(G_5);G;5;20.10.2025;24.02.2026;2
3375190410036;A_MAG_3375190410036_24022026_(Y_6);Y;6;03.11.2025;24.02.2026;31
3383482306554;A_MAG_3383482306554_18122026_(KOSZ_14);KOSZ;14;18.12.2025;18.12.2026;2
3383482306578;A_MAG_3383482306578_01012027_(J_4);J;4;29.09.2025;01.01.2027;1
3396411242854;A_MAG_3396411242854_26032026_(K_3);K;3;01.12.2025;26.03.2026;1
3445020002554;A_MAG_3445020002554_01102026_(G_4);G;4;28.08.2025;01.10.2026;1
3445020002592;A_MAG_3445020002592_01072026_(G_4);G;4;06.10.2025;01.07.2026;1
3483981000967;A_MAG_3483981000967_01102026_(K_2);K;2;14.07.2025;01.10.2026;1
3661679116071;A_MAG_3661679116071_01012029_(F_7);F;7;08.12.2025;01.01.2029;2
3700110005397;A_MAG_3700110005397_01082026_(A_5);A;5;30.04.2025;01.08.2026;1
3700110049711;A_MAG_3700110049711_01032027_(A_4);A;4;15.12.2025;01.03.2027;1
3760092217966;A_MAG_3760092217966_01072026_(J_2);J;2;01.12.2025;01.07.2026;1
3760092218093;A_MAG_3760092218093_01042026_(C_4);C;4;10.11.2025;01.04.2026;1
3760128281541;A_MAG_3760128281541_30062026_(A_3);A;3;27.10.2025;30.06.2026;2
3760128282029;A_MAG_3760128282029_17062026_(I_5);I;5;22.09.2025;17.06.2026;4
3800218252904;A_MAG_3800218252904_23052026_(C_7);C;7;13.10.2025;23.05.2026;4
3800218252904;A_MAG_3800218252904_23052026_(G_4);G;4;20.10.2025;23.05.2026;1
3800231610071;A_MAG_3800231610071_01092026_(B_3);B;3;15.12.2025;01.09.2026;1
3800233685428;A_MAG_3800233685428_21122025_(K_3);K;3;06.10.2025;21.12.2025;1
3800233782370;A_MAG_3800233782370_01042026_(F_6);F;6;04.08.2025;01.04.2026;2
3800233782394;A_MAG_3800233782394_14032026_(K_5);K;5;15.09.2025;14.03.2026;1
3800233782394;A_MAG_3800233782394_18122026_(KOSZ_12);KOSZ;12;18.12.2025;18.12.2026;2
3800233782936;A_MAG_3800233782936_10012027_(B_7);B;7;15.12.2025;10.01.2027;2
3800236132271;A_MAG_3800236132271_08092026_(G_4);G;4;08.12.2025;08.09.2026;1
3800500324036;A_MAG_3800500324036_01012027_(F_3);F;3;20.01.2025;01.01.2027;1
3800500324463;A_MAG_3800500324463_01082027_(B_4);B;4;08.12.2025;01.08.2027;1
3800500324784;A_MAG_3800500324784_01012027_(B_3);B;3;17.02.2025;01.01.2027;1
3800500324784;A_MAG_3800500324784_01012027_(M_3);M;3;02.06.2025;01.01.2027;1
3800500324791;A_MAG_3800500324791_01012027_(F_3);F;3;20.01.2025;01.01.2027;1
3800500324791;A_MAG_3800500324791_01012027_(J_4);J;4;22.03.2025;01.01.2027;1
3800501908594;A_MAG_3800501908594_18122026_(KOSZ_14);KOSZ;14;18.12.2025;18.12.2026;1
3800501908815;A_MAG_3800501908815_01072028_(B_4);B;4;15.12.2025;01.07.2028;2
4003247705550;A_MAG_4003247705550_04082026_(C_6);C;6;15.12.2025;04.08.2026;1
4004790017565;A_MAG_4004790017565_19072026_(F_5);F;5;20.10.2025;19.07.2026;1
4004790110303;A_MAG_4004790110303_28082026_(B_2);B;2;15.12.2025;28.08.2026;2
4005394121023;A_MAG_4005394121023_31102026_(C_1);C;1;14.08.2025;31.10.2026;3
4005394200858;A_MAG_4005394200858_31052026_(B_2);B;2;24.11.2025;31.05.2026;1
4005967005392;A_MAG_4005967005392_01012026_(H_5);H;5;26.05.2025;01.01.2026;1
4006040189008;A_MAG_4006040189008_24102026_(B_5);B;5;24.11.2025;24.10.2026;1
4006040294009;A_MAG_4006040294009_01022026_(C_3);C;3;27.10.2025;01.02.2026;1
4006040510239;A_MAG_4006040510239_16122026_(KOSZ_1);KOSZ;1;16.12.2025;16.12.2026;1
4010139181064;A_MAG_4010139181064_01052026_(C_2);C;2;03.11.2025;01.05.2026;1
4012346128702;A_MAG_4012346128702_01062028_(J_3);J;3;08.12.2025;01.06.2028;2
4012346128702;A_MAG_4012346128702_01062028_(G_4);G;4;08.12.2025;01.06.2028;3
4012346157009;A_MAG_4012346157009_01022028_(B_7);B;7;15.12.2025;01.02.2028;1
4012346157801;A_MAG_4012346157801_18122026_(KOSZ_12);KOSZ;12;18.12.2025;18.12.2026;1
4012346277608;A_MAG_4012346277608_01082027_(J_2);J;2;08.12.2025;01.08.2027;3
4012346520001;A_MAG_4012346520001_19122026_(KOSZ_19);KOSZ;19;19.12.2025;19.12.2026;1
4012346533407;A_MAG_4012346533407_01042028_(B_4);B;4;15.12.2025;01.04.2028;1
4012824402003;A_MAG_4012824402003_01012028_(C_2);C;2;21.07.2025;01.01.2028;1
4012824404281;A_MAG_4012824404281_30042028_(B_5);B;5;10.11.2025;30.04.2028;1
4013712575038;A_MAG_4013712575038_01072028_(I_3);I;3;31.03.2025;01.07.2028;1
4015533034770;A_MAG_4015533034770_01022027_(K_7);K;7;30.04.2025;01.02.2027;10
4015533034770;A_MAG_4015533034770_01022027_(O_1);O;1;19.05.2025;01.02.2027;10
4016249108571;A_MAG_4016249108571_28052026_(F_4);F;4;15.09.2025;28.05.2026;2
4016249150372;A_MAG_4016249150372_18122026_(KOSZ_13);KOSZ;13;18.12.2025;18.12.2026;2
4016512061152;A_MAG_4016512061152_17052027_(C_6);C;6;15.12.2025;17.05.2027;1
4018722100133;A_MAG_4018722100133_18122026_(KOSZ_15);KOSZ;15;18.12.2025;18.12.2026;1
4018722100188;A_MAG_4018722100188_10062027_(A_5);A;5;10.11.2025;10.06.2027;1
4019736003748;A_MAG_4019736003748_16122026_(KOSZ_2);KOSZ;2;16.12.2025;16.12.2026;1
4019736006428;A_MAG_4019736006428_18122026_(KOSZ_15);KOSZ;15;18.12.2025;18.12.2026;1
4019736006466;A_MAG_4019736006466_16072026_(H_3);H;3;01.12.2025;16.07.2026;1
4019736006466;A_MAG_4019736006466_16122026_(KOSZ_2);KOSZ;2;16.12.2025;16.12.2026;2
4019886076166;A_MAG_4019886076166_01112026_(C_5);C;5;15.12.2025;01.11.2026;1
4025089081296;A_MAG_4025089081296_01012027_(G_3);G;3;17.11.2025;01.01.2027;1
4025089081319;A_MAG_4025089081319_18122026_(KOSZ_12);KOSZ;12;18.12.2025;18.12.2026;1
4030917056902;A_MAG_4030917056902_01022027_(A_5);A;5;15.09.2025;01.02.2027;1
4030917057701;A_MAG_4030917057701_01072027_(K_2);K;2;15.12.2025;01.07.2027;2
4038375024204;A_MAG_4038375024204_29082026_(B_6);B;6;10.11.2025;29.08.2026;1
4038375024204;A_MAG_4038375024204_29082026_(H_1);H;1;10.11.2025;29.08.2026;7
4038375024204;A_MAG_4038375024204_29082026_(F_6);F;6;17.11.2025;29.08.2026;1
4038375024204;A_MAG_4038375024204_29082026_(G_3);G;3;08.12.2025;29.08.2026;1
4038375024204;A_MAG_4038375024204_29082026_(B_3);B;3;08.12.2025;29.08.2026;1
4038375025003;A_MAG_4038375025003_24092026_(H_3);H;3;08.12.2025;24.09.2026;1
4038375025065;A_MAG_4038375025065_18122026_(KOSZ_13);KOSZ;13;18.12.2025;18.12.2026;3
4044889002522;A_MAG_4044889002522_01122026_(K_5);K;5;01.12.2025;01.12.2026;1
4044889003222;A_MAG_4044889003222_19122026_(KOSZ_18);KOSZ;18;19.12.2025;19.12.2026;1
4044889004502;A_MAG_4044889004502_01112026_(B_6);B;6;17.11.2025;01.11.2026;1
4044889004571;A_MAG_4044889004571_19122026_(KOSZ_19);KOSZ;19;19.12.2025;19.12.2026;1
4044889004793;A_MAG_4044889004793_01112026_(B_4);B;4;03.11.2025;01.11.2026;2
4055297221283;A_MAG_4055297221283_01122028_(B_7);B;7;13.10.2025;01.12.2028;1
4055297221580;A_MAG_4055297221580_01012028_(C_2);C;2;13.10.2025;01.01.2028;1
4260237453581;A_MAG_4260237453581_01022026_(A_2);A;2;22.04.2025;01.02.2026;1
4260311984758;A_MAG_4260311984758_19122026_(KOSZ_19);KOSZ;19;19.12.2025;19.12.2026;8
4260311984772;A_MAG_4260311984772_18092026_(B_3);B;3;15.12.2025;18.09.2026;4
4260311985311;A_MAG_4260311985311_06032026_(B_4);B;4;08.09.2025;06.03.2026;2
4260595857984;A_MAG_4260595857984_01012029_(E_1);E;1;04.08.2025;01.01.2029;1
4743318101286;A_MAG_4743318101286_01012028_(B_5);B;5;13.10.2025;01.01.2028;1
4744481012027;A_MAG_4744481012027_23072026_(F_5);F;5;08.12.2025;23.07.2026;1
4751022365764;A_MAG_4751022365764_20112026_(J_1);J;1;27.10.2025;20.11.2026;1
4751022365849;A_MAG_4751022365849_18122026_(KOSZ_12);KOSZ;12;18.12.2025;18.12.2026;1
4771085204916;A_MAG_4771085204916_09092026_(G_4);G;4;17.11.2025;09.09.2026;2
4779030680075;A_MAG_4779030680075_01012027_(F_6);F;6;04.08.2025;01.01.2027;2
4779030680082;A_MAG_4779030680082_18122026_(KOSZ_14);KOSZ;14;18.12.2025;18.12.2026;1
4779030680181;A_MAG_4779030680181_16122026_(KOSZ_1);KOSZ;1;16.12.2025;16.12.2026;1
4779039732560;A_MAG_4779039732560_17122026_(KOSZ_11);KOSZ;11;17.12.2025;17.12.2026;4
4779039732577;A_MAG_4779039732577_17122026_(KOSZ_11);KOSZ;11;17.12.2025;17.12.2026;4
